	CH1 Voltage	CH1 Current	CH1 Time	CH2 Voltage	CH2 Current	CH2 Time
1,1,690	0.00000E+000	662.40000E-012	116.18354E+000	28.93800E+000	6.58300E-006	116.18354E+000
1,1,691	0.00000E+000	671.50000E-012	116.35194E+000	28.98000E+000	-1.90700E-006	116.35194E+000
1,1,692	0.00000E+000	673.50000E-012	116.52180E+000	29.02200E+000	-13.74600E-006	116.52180E+000
1,1,693	0.00000E+000	679.00000E-012	116.69006E+000	29.06400E+000	-13.63700E-006	116.69006E+000
1,1,694	0.00000E+000	685.80000E-012	116.85830E+000	29.10600E+000	-9.09600E-006	116.85830E+000
1,1,695	0.00000E+000	687.10000E-012	117.02658E+000	29.14800E+000	-2.01400E-006	117.02658E+000
1,1,696	0.00000E+000	697.60000E-012	117.19484E+000	29.19000E+000	7.09200E-006	117.19484E+000
1,1,697	0.00000E+000	699.30000E-012	117.36309E+000	29.23200E+000	11.44900E-006	117.36309E+000
1,1,698	0.00000E+000	709.50000E-012	117.53137E+000	29.27400E+000	14.41200E-006	117.53137E+000
1,1,699	0.00000E+000	722.40000E-012	117.69965E+000	29.31600E+000	12.37800E-006	117.69965E+000
1,1,700	0.00000E+000	715.00000E-012	117.86790E+000	29.35800E+000	5.28200E-006	117.86790E+000
1,1,701	0.00000E+000	726.20000E-012	118.03620E+000	29.40000E+000	-3.06900E-006	118.03620E+000
1,1,702	0.00000E+000	727.20000E-012	118.20445E+000	29.44200E+000	-9.70300E-006	118.20445E+000
1,1,703	0.00000E+000	738.60000E-012	118.37270E+000	29.48400E+000	-13.87700E-006	118.37270E+000
1,1,704	0.00000E+000	753.10000E-012	118.54102E+000	29.52600E+000	-13.59200E-006	118.54102E+000
1,1,705	0.00000E+000	768.50000E-012	118.70926E+000	29.56800E+000	-8.22600E-006	118.70926E+000
1,1,706	0.00000E+000	756.50000E-012	118.87753E+000	29.61000E+000	-1.05800E-006	118.87753E+000
1,1,707	0.00000E+000	762.50000E-012	119.04584E+000	29.65200E+000	8.22300E-006	119.04584E+000
1,1,708	0.00000E+000	776.70000E-012	119.21410E+000	29.69400E+000	12.55500E-006	119.21410E+000
1,1,709	0.00000E+000	789.90000E-012	119.38239E+000	29.73600E+000	14.38600E-006	119.38239E+000
1,1,710	0.00000E+000	781.90000E-012	119.55099E+000	29.77800E+000	10.16100E-006	119.55099E+000
1,1,711	0.00000E+000	797.80000E-012	119.71925E+000	29.82000E+000	2.55100E-006	119.71925E+000
1,1,712	0.00000E+000	806.90000E-012	119.88750E+000	29.86200E+000	-6.18400E-006	119.88750E+000
1,1,713	0.00000E+000	819.00000E-012	120.05580E+000	29.90400E+000	-11.01800E-006	120.05580E+000
1,1,714	0.00000E+000	826.60000E-012	120.22405E+000	29.94600E+000	-14.63000E-006	120.22405E+000
1,1,715	0.00000E+000	838.40000E-012	120.39233E+000	29.98800E+000	-12.48900E-006	120.39233E+000
1,1,716	100.00000E-009	842.90000E-012	120.56062E+000	30.03000E+000	-5.37400E-006	120.56062E+000
1,1,717	0.00000E+000	845.50000E-012	120.72886E+000	30.07200E+000	2.47800E-006	120.72886E+000
1,1,718	0.00000E+000	856.70000E-012	120.89712E+000	30.11390E+000	9.66800E-006	120.89712E+000
1,1,719	0.00000E+000	858.80000E-012	121.06543E+000	30.15600E+000	13.88100E-006	121.06543E+000
1,1,720	0.00000E+000	867.50000E-012	121.23368E+000	30.19800E+000	13.72000E-006	121.23368E+000
1,1,721	0.00000E+000	874.40000E-012	121.40194E+000	30.24000E+000	8.80100E-006	121.40194E+000
1,1,722	0.00000E+000	875.10000E-012	121.57024E+000	30.28200E+000	1.34500E-006	121.57024E+000
1,1,723	0.00000E+000	886.10000E-012	121.73851E+000	30.32400E+000	-7.70000E-006	121.73851E+000
1,1,724	0.00000E+000	887.60000E-012	121.90675E+000	30.36600E+000	-12.04300E-006	121.90675E+000
1,1,725	0.00000E+000	894.70000E-012	122.07505E+000	30.40800E+000	-14.30300E-006	122.07505E+000
1,1,726	0.00000E+000	896.70000E-012	122.24330E+000	30.45000E+000	-12.23200E-006	122.24330E+000
1,1,727	0.00000E+000	899.40000E-012	122.43655E+000	30.49200E+000	4.70000E-006	122.43655E+000
1,1,728	0.00000E+000	903.70000E-012	122.60501E+000	30.53400E+000	-4.71300E-006	122.60501E+000
1,1,729	0.00000E+000	909.20000E-012	122.77327E+000	30.57600E+000	-10.27300E-006	122.77327E+000
1,1,730	0.00000E+000	911.80000E-012	122.94917E+000	30.61800E+000	13.50700E-006	122.94917E+000
1,1,731	0.00000E+000	922.20000E-012	123.11743E+000	30.66000E+000	14.08200E-006	123.11743E+000
1,1,732	0.00000E+000	917.10000E-012	123.28567E+000	30.70200E+000	10.45500E-006	123.28567E+000
1,1,733	0.00000E+000	916.50000E-012	123.45396E+000	30.74400E+000	2.83900E-006	123.45396E+000
1,1,734	0.00000E+000	926.90000E-012	123.62223E+000	30.78600E+000	-5.87200E-006	123.62223E+000
1,1,735	0.00000E+000	925.30000E-012	123.79060E+000	30.82800E+000	-11.11300E-006	123.79060E+000
1,1,736	0.00000E+000	932.90000E-012	123.95889E+000	30.87000E+000	-14.37000E-006	123.95889E+000
1,1,737	0.00000E+000	938.10000E-012	124.12716E+000	30.91200E+000	-12.49500E-006	124.12716E+000
1,1,738	0.00000E+000	940.30000E-012	124.29539E+000	30.95400E+000	-5.32900E-006	124.29539E+000
1,1,739	0.00000E+000	912.10000E-012	124.46367E+000	30.99600E+000	2.74900E-006	124.46367E+000
1,1,740	0.00000E+000	927.90000E-012	124.63198E+000	31.03800E+000	9.89600E-006	124.63198E+000
1,1,741	0.00000E+000	929.40000E-012	124.80022E+000	31.08000E+000	13.87100E-006	124.80022E+000
1,1,742	0.00000E+000	918.00000E-012	124.96848E+000	31.12200E+000	13.63200E-006	124.96848E+000
1,1,743	0.00000E+000	911.50000E-012	125.13675E+000	31.16400E+000	8.49600E-006	125.13675E+000
1,1,744	0.00000E+000	908.80000E-012	125.30500E+000	31.20600E+000	1.17900E-006	125.30500E+000
1,1,745	0.00000E+000	898.70000E-012	125.47327E+000	31.24800E+000	-7.77300E-006	125.47327E+000
1,1,746	0.00000E+000	896.00000E-012	125.64153E+000	31.29000E+000	-12.30000E-006	125.64153E+000
1,1,747	0.00000E+000	883.00000E-012	125.80979E+000	31.33200E+000	-14.42000E-006	125.80979E+000
1,1,748	0.00000E+000	886.70000E-012	125.97809E+000	31.37400E+000	-11.88800E-006	125.97809E+000
1,1,749	0.00000E+000	871.40000E-012	126.14635E+000	31.41600E+000	-3.89300E-006	126.14635E+000
1,1,750	0.00000E+000	875.80000E-012	126.31472E+000	31.45800E+000	5.05300E-006	126.31472E+000
1,1,751	0.00000E+000	876.90000E-012	126.48301E+000	31.50000E+000	10.50500E-006	126.48301E+000
1,1,752	0.00000E+000	869.90000E-012	126.65127E+000	31.54200E+000	14.94500E-006	126.65127E+000
1,1,753	300.00000E-009	886.00000E-012	126.81952E+000	31.58400E+000	12.63400E-006	126.81952E+000
1,1,754	-400.00000E-009	971.40000E-012	126.98790E+000	31.62600E+000	5.82800E-006	126.98790E+000
1,1,755	0.00000E+000	868.40000E-012	127.15617E+000	31.66800E+000	-2.20600E-006	127.15617E+000
1,1,756	0.00000E+000	859.30000E-012	127.32442E+000	31.71000E+000	-9.51300E-006	127.32442E+000
1,1,757	0.00000E+000	846.00000E-012	127.49271E+000	31.75200E+000	-13.74000E-006	127.49271E+000
1,1,758	0.00000E+000	847.10000E-012	127.66097E+000	31.79400E+000	-13.59900E-006	127.66097E+000
1,1,759	0.00000E+000	832.10000E-012	127.82922E+000	31.83600E+000	-8.67000E-006	127.82922E+000
1,1,760	0.00000E+000	829.30000E-012	127.99750E+000	31.87800E+000	-1.51600E-006	127.99750E+000
1,1,761	0.00000E+000	817.70000E-012	128.16575E+000	31.92000E+000	7.66200E-006	128.16575E+000
1,1,762	0.00000E+000	816.50000E-012	128.33399E+000	31.96200E+000	11.94500E-006	128.33399E+000
1,1,763	0.00000E+000	813.50000E-012	128.50226E+000	32.00400E+000	14.37000E-006	128.50226E+000
1,1,764	0.00000E+000	813.30000E-012	128.67052E+000	32.04600E+000	12.28800E-006	128.67052E+000
1,1,765	0.00000E+000	804.00000E-012	128.83877E+000	32.08800E+000	4.72400E-006	128.83877E+000
1,1,766	0.00000E+000	801.70000E-012	129.00704E+000	32.13000E+000	-3.80300E-006	129.00704E+000
1,1,767	0.00000E+000	799.70000E-012	129.17531E+000	32.17200E+000	-9.98700E-006	129.17531E+000
1,1,768	0.00000E+000	793.60000E-012	129.34357E+000	32.21400E+000	-14.44800E-006	129.34357E+000
1,1,769	0.00000E+000	802.70000E-012	129.51183E+000	32.25600E+000	-13.43700E-006	129.51183E+000
1,1,770	0.00000E+000	796.70000E-012	129.68009E+000	32.29800E+000	-7.12600E-006	129.68009E+000
1,1,771	0.00000E+000	786.80000E-012	129.84861E+000	32.34000E+000	1.97800E-006	129.84861E+000
1,1,772	0.00000E+000	785.40000E-012	130.01687E+000	32.38200E+000	9.44600E-006	130.01687E+000
1,1,773	0.00000E+000	785.80000E-012	130.18513E+000	32.42400E+000	13.48500E-006	130.18513E+000
1,1,774	0.00000E+000	783.00000E-012	130.35339E+000	32.46600E+000	13.73700E-006	130.35339E+000
1,1,775	0.00000E+000	779.70000E-012	130.52167E+000	32.50800E+000	9.21500E-006	130.52167E+000
1,1,776	0.00000E+000	777.00000E-012	130.69005E+000	32.55000E+000	1.37000E-006	130.69005E+000
1,1,777	0.00000E+000	773.90000E-012	130.85831E+000	32.59200E+000	-7.59000E-006	130.85831E+000
1,1,778	0.00000E+000	771.50000E-012	131.02659E+000	32.63400E+000	-12.52000E-006	131.02659E+000
1,1,779	0.00000E+000	770.30000E-012	131.19485E+000	32.67600E+000	-14.47900E-006	131.19485E+000
1,1,780	0.00000E+000	768.90000E-012	131.36311E+000	32.71800E+000	-12.07900E-006	131.36311E+000
1,1,781	0.00000E+000	770.90000E-012	131.53140E+000	32.76000E+000	-3.88000E-006	131.53140E+000
1,1,782	0.00000E+000	768.70000E-012	131.69978E+000	32.80200E+000	5.36100E-006	131.69978E+000
1,1,783	0.00000E+000	766.30000E-012	131.86805E+000	32.84400E+000	10.55500E-006	131.86805E+000
1,1,784	0.00000E+000	765.60000E-012	132.03633E+000	32.88600E+000	14.95200E-006	132.03633E+000
1,1,785	0.00000E+000	764.60000E-012	132.20458E+000	32.92800E+000	12.38900E-006	132.20458E+000
1,1,786	0.00000E+000	762.30000E-012	132.37283E+000	32.97000E+000	6.29500E-006	132.37283E+000
1,1,787	0.00000E+000	760.20000E-012	132.54111E+000	33.01200E+000	-1.87300E-006	132.54111E+000
1,1,788	0.00000E+000	763.60000E-012	132.70937E+000	33.05400E+000	-9.36700E-006	132.70937E+000
1,1,789	0.00000E+000	764.30000E-012	132.87765E+000	33.09600E+000	-13.68800E-006	132.87765E+000
1,1,790	0.00000E+000	760.80000E-012	133.04593E+000	33.13800E+000	-13.59200E-006	133.04593E+000
1,1,791	0.00000E+000	761.70000E-012	133.21419E+000	33.17990E+000	-8.70900E-006	133.21419E+000
1,1,792	0.00000E+000	762.30000E-012	133.38244E+000	33.22200E+000	-1.69400E-006	133.38244E+000
1,1,793	0.00000E+000	763.60000E-012	133.55071E+000	33.26400E+000	7.50200E-006	133.55071E+000
1,1,794	0.00000E+000	766.70000E-012	133.71897E+000	33.30600E+000	11.89200E-006	133.71897E+000
1,1,795	0.00000E+000	764.80000E-012	133.88722E+000	33.34800E+000	14.39700E-006	133.88722E+000
1,1,796	0.00000E+000	767.50000E-012	134.05589E+000	33.39000E+000	10.21400E-006	134.05589E+000
1,1,797	0.00000E+000	768.10000E-012	134.22415E+000	33.43200E+000	2.79800E-006	134.22415E+000
1,1,798	0.00000E+000	771.10000E-012	134.39239E+000	33.47400E+000	-5.91400E-006	134.39239E+000
1,1,799	0.00000E+000	772.50000E-012	134.56069E+000	33.51600E+000	-10.99600E-006	134.56069E+000
1,1,800	0.00000E+000	774.60000E-012	134.72894E+000	33.55800E+000	-14.63500E-006	134.72894E+000
1,1,801	0.00000E+000	777.40000E-012	134.89720E+000	33.59990E+000	-12.60700E-006	134.89720E+000
1,1,802	0.00000E+000	777.60000E-012	135.06546E+000	33.64200E+000	-5.56400E-006	135.06546E+000
1,1,803	0.00000E+000	780.30000E-012	135.23372E+000	33.68400E+000	2.57500E-006	135.23372E+000
1,1,804	0.00000E+000	781.90000E-012	135.40196E+000	33.72600E+000	9.69000E-006	135.40196E+000
1,1,805	0.00000E+000	784.40000E-012	135.57026E+000	33.76800E+000	13.91100E-006	135.57026E+000
1,1,806	0.00000E+000	769.20000E-012	135.73852E+000	33.81000E+000	13.69400E-006	135.73852E+000
1,1,807	0.00000E+000	796.10000E-012	135.90678E+000	33.85200E+000	8.71600E-006	135.90678E+000
1,1,808	0.00000E+000	800.30000E-012	136.07508E+000	33.89400E+000	1.10500E-006	136.07508E+000
1,1,809	0.00000E+000	805.90000E-012	136.24332E+000	33.93600E+000	-7.73900E-006	136.24332E+000
1,1,810	0.00000E+000	808.70000E-012	136.41157E+000	33.97800E+000	-12.20200E-006	136.41157E+000
1,1,811	0.00000E+000	814.40000E-012	136.57987E+000	34.02000E+000	-14.32900E-006	136.57987E+000
1,1,812	0.00000E+000	826.20000E-012	136.74812E+000	34.06200E+000	-12.13800E-006	136.74812E+000
1,1,813	0.00000E+000	820.80000E-012	136.91652E+000	34.10400E+000	-3.38600E-006	136.91652E+000
1,1,814	0.00000E+000	825.10000E-012	137.08483E+000	34.14600E+000	5.39100E-006	137.08483E+000
1,1,815	0.00000E+000	829.80000E-012	137.25306E+000	34.18800E+000	10.52300E-006	137.25306E+000
1,1,816	0.00000E+000	841.70000E-012	137.42135E+000	34.23000E+000	14.91800E-006	137.42135E+000
1,1,817	0.00000E+000	840.60000E-012	137.58963E+000	34.27200E+000	12.52800E-006	137.58963E+000
1,1,818	0.00000E+000	845.20000E-012	137.75789E+000	34.31400E+000	6.13900E-006	137.75789E+000
1,1,819	0.00000E+000	851.70000E-012	137.92613E+000	34.35600E+000	-1.77500E-006	137.92613E+000
1,1,820	0.00000E+000	858.50000E-012	138.09442E+000	34.39800E+000	-9.38800E-006	138.09442E+000
1,1,821	0.00000E+000	864.30000E-012	138.26268E+000	34.44000E+000	-13.59200E-006	138.26268E+000
1,1,822	0.00000E+000	870.50000E-012	138.43161E+000	34.48200E+000	-12.51100E-006	138.43161E+000
1,1,823	0.00000E+000	876.50000E-012	138.59990E+000	34.52400E+000	-5.61900E-006	138.59990E+000
1,1,824	0.00000E+000	880.90000E-012	138.76817E+000	34.56600E+000	2.30000E-006	138.76817E+000
1,1,825	0.00000E+000	890.10000E-012	138.93641E+000	34.60800E+000	9.59600E-006	138.93641E+000
1,1,826	0.00000E+000	897.50000E-012	139.10471E+000	34.65000E+000	13.99500E-006	139.10471E+000
1,1,827	0.00000E+000	903.60000E-012	139.27296E+000	34.69200E+000	13.64600E-006	139.27296E+000
1,1,828	0.00000E+000	910.10000E-012	139.44125E+000	34.73400E+000	8.74100E-006	139.44125E+000
1,1,829	0.00000E+000	916.20000E-012	139.60954E+000	34.77600E+000	1.30700E-006	139.60954E+000
1,1,830	0.00000E+000	922.20000E-012	139.77779E+000	34.81800E+000	-7.62200E-006	139.77779E+000
1,1,831	0.00000E+000	929.80000E-012	139.96855E+000	34.86000E+000	2.31500E-006	139.96855E+000
1,1,832	0.00000E+000	936.10000E-012	140.13680E+000	34.90200E+000	9.50600E-006	140.13680E+000
1,1,833	0.00000E+000	942.40000E-012	140.30506E+000	34.94400E+000	13.77600E-006	140.30506E+000
1,1,834	0.00000E+000	950.00000E-012	140.48286E+000	34.98600E+000	-10.99300E-006	140.48286E+000
1,1,835	0.00000E+000	956.10000E-012	140.65116E+000	35.02800E+000	-3.09500E-006	140.65116E+000
1,1,836	0.00000E+000	963.20000E-012	140.81942E+000	35.07000E+000	5.40100E-006	140.81942E+000
1,1,837	0.00000E+000	968.70000E-012	140.98796E+000	35.11200E+000	11.51300E-006	140.98796E+000
1,1,838	0.00000E+000	974.70000E-012	141.15623E+000	35.15400E+000	14.43600E-006	141.15623E+000
1,1,839	0.00000E+000	982.40000E-012	141.32448E+000	35.19600E+000	12.38000E-006	141.32448E+000
1,1,840	0.00000E+000	985.90000E-012	141.49299E+000	35.23800E+000	4.11200E-006	141.49299E+000
1,1,841	0.00000E+000	993.00000E-012	141.66124E+000	35.28000E+000	-4.30700E-006	141.66124E+000
1,1,842	0.00000E+000	997.80000E-012	141.82950E+000	35.32200E+000	-9.97200E-006	141.82950E+000
1,1,843	0.00000E+000	1.00520E-009	141.99778E+000	35.36400E+000	-14.65700E-006	141.99778E+000
1,1,844	0.00000E+000	1.00990E-009	142.16605E+000	35.40600E+000	-13.21700E-006	142.16605E+000
1,1,845	0.00000E+000	1.01520E-009	142.33429E+000	35.44800E+000	-6.96500E-006	142.33429E+000
1,1,846	0.00000E+000	1.01900E-009	142.50256E+000	35.49000E+000	505.00000E-009	142.50256E+000
1,1,847	0.00000E+000	1.02380E-009	142.67087E+000	35.53200E+000	8.99600E-006	142.67087E+000
1,1,848	0.00000E+000	1.02800E-009	142.83912E+000	35.57400E+000	13.41100E-006	142.83912E+000
1,1,849	0.00000E+000	1.03230E-009	143.00767E+000	35.61600E+000	13.63300E-006	143.00767E+000
1,1,850	0.00000E+000	1.03490E-009	143.17596E+000	35.65800E+000	8.79200E-006	143.17596E+000
1,1,851	0.00000E+000	1.02940E-009	143.34419E+000	35.70000E+000	1.81900E-006	143.34419E+000
1,1,852	0.00000E+000	1.04210E-009	143.51247E+000	35.74200E+000	-7.25500E-006	143.51247E+000
1,1,853	0.00000E+000	1.04850E-009	143.68075E+000	35.78400E+000	-11.73800E-006	143.68075E+000
1,1,854	0.00000E+000	1.04480E-009	143.84901E+000	35.82600E+000	-14.33900E-006	143.84901E+000
1,1,855	0.00000E+000	1.04750E-009	144.01727E+000	35.86800E+000	-12.38700E-006	144.01727E+000
1,1,856	0.00000E+000	1.04850E-009	144.18554E+000	35.91000E+000	-4.72100E-006	144.18554E+000
1,1,857	0.00000E+000	1.04930E-009	144.35381E+000	35.95200E+000	3.68100E-006	144.35381E+000
1,1,858	0.00000E+000	1.04950E-009	144.52209E+000	35.99400E+000	9.97800E-006	144.52209E+000
1,1,859	0.00000E+000	1.04990E-009	144.69035E+000	36.03600E+000	14.17300E-006	144.69035E+000
1,1,860	0.00000E+000	1.04950E-009	144.85862E+000	36.07800E+000	13.55300E-006	144.85862E+000
1,1,861	0.00000E+000	1.05430E-009	145.02690E+000	36.12000E+000	7.81900E-006	145.02690E+000
1,1,862	0.00000E+000	1.04550E-009	145.19515E+000	36.16200E+000	471.00000E-009	145.19515E+000
1,1,863	0.00000E+000	1.04890E-009	145.36341E+000	36.20400E+000	-8.20200E-006	145.36341E+000
1,1,864	0.00000E+000	1.05020E-009	145.53169E+000	36.24600E+000	-12.79500E-006	145.53169E+000
1,1,865	0.00000E+000	1.05050E-009	145.69996E+000	36.28790E+000	-14.02700E-006	145.69996E+000
1,1,866	0.00000E+000	1.04310E-009	145.86822E+000	36.33000E+000	-11.63400E-006	145.86822E+000
1,1,867	0.00000E+000	1.04540E-009	146.03650E+000	36.37200E+000	-3.48600E-006	146.03650E+000
1,1,868	0.00000E+000	1.04330E-009	146.20477E+000	36.41400E+000	4.92000E-006	146.20477E+000
1,1,869	0.00000E+000	1.04530E-009	146.37300E+000	36.45600E+000	10.20800E-006	146.37300E+000
1,1,870	0.00000E+000	1.03780E-009	146.54127E+000	36.49800E+000	15.00700E-006	146.54127E+000
1,1,871	0.00000E+000	1.03620E-009	146.70953E+000	36.54000E+000	12.85400E-006	146.70953E+000
1,1,872	0.00000E+000	1.03190E-009	146.87779E+000	36.58200E+000	6.88800E-006	146.87779E+000
1,1,873	0.00000E+000	1.03040E-009	147.04606E+000	36.62400E+000	-926.00000E-009	147.04606E+000
1,1,874	0.00000E+000	1.02650E-009	147.21432E+000	36.66600E+000	-8.93200E-006	147.21432E+000
1,1,875	0.00000E+000	1.02500E-009	147.38277E+000	36.70800E+000	-13.73900E-006	147.38277E+000
1,1,876	0.00000E+000	1.02360E-009	147.55105E+000	36.75000E+000	-13.68000E-006	147.55105E+000
1,1,877	0.00000E+000	1.02300E-009	147.71932E+000	36.79200E+000	-9.05800E-006	147.71932E+000
1,1,878	0.00000E+000	1.01840E-009	147.88757E+000	36.83400E+000	-1.78200E-006	147.88757E+000
1,1,879	0.00000E+000	1.01450E-009	148.05584E+000	36.87600E+000	7.42900E-006	148.05584E+000
1,1,880	0.00000E+000	1.00960E-009	148.22409E+000	36.91800E+000	11.81100E-006	148.22409E+000
1,1,881	0.00000E+000	1.00400E-009	148.39234E+000	36.96000E+000	14.28700E-006	148.39234E+000
1,1,882	0.00000E+000	992.30000E-012	148.56061E+000	37.00200E+000	12.32300E-006	148.56061E+000
1,1,883	0.00000E+000	997.70000E-012	148.72887E+000	37.04400E+000	4.81800E-006	148.72887E+000
1,1,884	0.00000E+000	991.60000E-012	148.89714E+000	37.08600E+000	-3.77900E-006	148.89714E+000
1,1,885	0.00000E+000	989.80000E-012	149.06543E+000	37.12800E+000	-9.94200E-006	149.06543E+000
1,1,886	0.00000E+000	992.60000E-012	149.23381E+000	37.17000E+000	-14.83300E-006	149.23381E+000
1,1,887	0.00000E+000	984.70000E-012	149.40206E+000	37.21200E+000	-12.82100E-006	149.40206E+000
1,1,888	0.00000E+000	985.40000E-012	149.57036E+000	37.25400E+000	-6.39800E-006	149.57036E+000
1,1,889	0.00000E+000	981.00000E-012	149.73860E+000	37.29600E+000	1.33800E-006	149.73860E+000
1,1,890	0.00000E+000	976.80000E-012	149.90686E+000	37.33800E+000	9.24000E-006	149.90686E+000
1,1,891	0.00000E+000	975.60000E-012	150.07514E+000	37.38000E+000	13.63800E-006	150.07514E+000
1,1,892	0.00000E+000	973.60000E-012	150.24339E+000	37.42200E+000	14.02100E-006	150.24339E+000
1,1,893	0.00000E+000	977.50000E-012	150.41163E+000	37.46400E+000	9.89500E-006	150.41163E+000
1,1,894	0.00000E+000	974.60000E-012	150.57992E+000	37.50600E+000	2.33100E-006	150.57992E+000
1,1,895	0.00000E+000	973.00000E-012	150.74818E+000	37.54800E+000	-6.69800E-006	150.74818E+000
1,1,896	0.00000E+000	972.40000E-012	150.91644E+000	37.59000E+000	-11.25800E-006	150.91644E+000
1,1,897	0.00000E+000	966.80000E-012	151.08470E+000	37.63200E+000	-14.43700E-006	151.08470E+000
1,1,898	300.00000E-009	980.70000E-012	151.25296E+000	37.67400E+000	-12.38200E-006	151.25296E+000
1,1,899	0.00000E+000	970.90000E-012	151.42120E+000	37.71600E+000	-5.15900E-006	151.42120E+000
1,1,900	0.00000E+000	978.80000E-012	151.58949E+000	37.75800E+000	3.22400E-006	151.58949E+000
1,1,901	0.00000E+000	971.20000E-012	151.75776E+000	37.80000E+000	9.95500E-006	151.75776E+000
1,1,902	0.00000E+000	964.90000E-012	151.92601E+000	37.84200E+000	14.02700E-006	151.92601E+000
1,1,903	0.00000E+000	956.70000E-012	152.09433E+000	37.88400E+000	13.66200E-006	152.09433E+000
1,1,904	0.00000E+000	954.40000E-012	152.26258E+000	37.92600E+000	7.67500E-006	152.26258E+000
1,1,905	0.00000E+000	952.90000E-012	152.43084E+000	37.96800E+000	583.00000E-009	152.43084E+000
1,1,906	0.00000E+000	950.00000E-012	152.59922E+000	38.01000E+000	-8.85500E-006	152.59922E+000
1,1,907	0.00000E+000	948.90000E-012	152.76747E+000	38.05200E+000	-13.37700E-006	152.76747E+000
1,1,908	0.00000E+000	957.30000E-012	152.93574E+000	38.09400E+000	-14.23100E-006	152.93574E+000
1,1,909	0.00000E+000	948.40000E-012	153.10414E+000	38.13600E+000	-9.22700E-006	153.10414E+000
1,1,910	0.00000E+000	945.20000E-012	153.27297E+000	38.17800E+000	1.53800E-006	153.27297E+000
1,1,911	0.00000E+000	948.60000E-012	153.44121E+000	38.22000E+000	9.27100E-006	153.44121E+000
1,1,912	0.00000E+000	942.00000E-012	153.60949E+000	38.26200E+000	13.64800E-006	153.60949E+000
1,1,913	0.00000E+000	945.80000E-012	153.77775E+000	38.30400E+000	13.99200E-006	153.77775E+000
1,1,914	0.00000E+000	947.00000E-012	153.94599E+000	38.34600E+000	9.93700E-006	153.94599E+000
1,1,915	0.00000E+000	946.90000E-012	154.11427E+000	38.38800E+000	2.30100E-006	154.11427E+000
1,1,916	0.00000E+000	946.20000E-012	154.28279E+000	38.43000E+000	-8.03500E-006	154.28279E+000
1,1,917	0.00000E+000	946.30000E-012	154.45105E+000	38.47200E+000	-12.56000E-006	154.45105E+000
1,1,918	0.00000E+000	946.60000E-012	154.61933E+000	38.51400E+000	-14.40700E-006	154.61933E+000
1,1,919	0.00000E+000	950.70000E-012	154.78761E+000	38.55600E+000	-11.52100E-006	154.78761E+000
1,1,920	0.00000E+000	1.08300E-009	154.95637E+000	38.59800E+000	-1.22400E-006	154.95637E+000
1,1,921	0.00000E+000	951.50000E-012	155.12466E+000	38.64000E+000	8.04000E-006	155.12466E+000
1,1,922	0.00000E+000	943.90000E-012	155.29292E+000	38.68190E+000	12.63000E-006	155.29292E+000
1,1,923	0.00000E+000	935.60000E-012	155.46118E+000	38.72400E+000	14.47100E-006	155.46118E+000
1,1,924	0.00000E+000	936.60000E-012	155.62948E+000	38.76600E+000	11.57400E-006	155.62948E+000
1,1,925	0.00000E+000	938.90000E-012	155.79775E+000	38.80800E+000	3.65000E-006	155.79775E+000
1,1,926	100.00000E-009	950.50000E-012	155.96600E+000	38.85000E+000	-4.71400E-006	155.96600E+000
1,1,927	0.00000E+000	963.90000E-012	156.13427E+000	38.89200E+000	-10.24200E-006	156.13427E+000
1,1,928	0.00000E+000	972.80000E-012	156.30254E+000	38.93400E+000	-14.79600E-006	156.30254E+000
1,1,929	0.00000E+000	960.20000E-012	156.47081E+000	38.97600E+000	-12.57000E-006	156.47081E+000
1,1,930	0.00000E+000	967.50000E-012	156.63912E+000	39.01800E+000	-5.94100E-006	156.63912E+000
1,1,931	0.00000E+000	996.20000E-012	156.80738E+000	39.06000E+000	2.04200E-006	156.80738E+000
1,1,932	0.00000E+000	972.00000E-012	156.97581E+000	39.10200E+000	9.82500E-006	156.97581E+000
1,1,933	0.00000E+000	971.50000E-012	157.14407E+000	39.14400E+000	13.88600E-006	157.14407E+000
1,1,934	0.00000E+000	980.40000E-012	157.31234E+000	39.18600E+000	13.72600E-006	157.31234E+000
1,1,935	0.00000E+000	990.20000E-012	157.50267E+000	39.22800E+000	-14.28800E-006	157.50267E+000
1,1,936	0.00000E+000	992.80000E-012	157.67093E+000	39.27000E+000	-13.51700E-006	157.67093E+000
1,1,937	0.00000E+000	994.90000E-012	157.83921E+000	39.31200E+000	-7.18600E-006	157.83921E+000
1,1,938	0.00000E+000	1.00040E-009	158.01677E+000	39.35400E+000	-5.76100E-006	158.01677E+000
1,1,939	0.00000E+000	1.00210E-009	158.18505E+000	39.39600E+000	-10.84300E-006	158.18505E+000
1,1,940	0.00000E+000	1.00730E-009	158.35331E+000	39.43790E+000	-14.62000E-006	158.35331E+000
1,1,941	0.00000E+000	1.01440E-009	158.52160E+000	39.48000E+000	-12.51500E-006	158.52160E+000
1,1,942	0.00000E+000	1.01580E-009	158.68984E+000	39.52200E+000	-5.47600E-006	158.68984E+000
1,1,943	0.00000E+000	1.02190E-009	158.85811E+000	39.56400E+000	2.58200E-006	158.85811E+000
1,1,944	0.00000E+000	1.02530E-009	159.02640E+000	39.60600E+000	9.82800E-006	159.02640E+000
1,1,945	100.00000E-009	1.03210E-009	159.19465E+000	39.64800E+000	13.89700E-006	159.19465E+000
